id,question,answer_1,answer_2,answer_3,solution
2090,Che cosa è la trazione nel volo planato?,È una forza ed è la componente del peso orientata nella direzione della traiettoria di volo.,È una forza ed è la componente del peso orientata perpendicolarmente alla traiettoria di volo.,"È una forza che varia al variare della pendenza della traiettoria, ma è indipendente dal peso.",1
2091,Com’è possibile variare il valore della trazione in volo?,Non può essere variato.,Variando la pendenza della traiettoria di volo.,Variando la sola resistenza aerodinamica.,2
2092,"In volo librato rettilineo uniforme il peso apparente, che costituisce la componente del peso perpendicolare alla traiettoria di volo, è equilibrato dalla:",resistenza.,trazione.,portanza.,3
2093,In virata come variano il peso apparente e la superficie proiettata dell'ala?,"Aumentano entrambi, il peso apparente a causa dell'accelerazione centripeta, la superficie proiettata per motivi geometrici.",Aumenta il peso apparente a causa dell'accelerazione centrifuga e diminuisce la superficie proiettata per motivi geometrici.,Non variano né il peso apparente né la superficie proiettata.,2
2094,In virata a causa della forza centrifuga e dell’'inclinazione laterale:,il peso apparente è maggiore e la superficie proiettata è minore.,il peso è minore e la superficie é minore.,la resistenza aerodinamica è minore.,1
2095,Che cosa s’intende per carico alare?,Il rapporto tra il peso sostentato dall'ala e la superficie della stessa.,Il rapporto tra la superficie dell'ala ed il peso sostentato dalla stessa.,Il carico di rottura dell'ala.,1
2096,"Se il pilota pesa 78 kg, l’attrezzatura di volo, ala compresa, 22 kg e la superficie proiettata è 25 m2 , quanto sarà il carico alare?",6 kg/m2 .,9 kg/m2 .,4 kg/m2 .,3
2097,"Se a seguito di una parziale ""chiusura"" del parapendio la sua superficie alare si riduce:",il carico alare rimane lo stesso.,il carico alare aumenta.,il carico alare si riduce.,2
2098,Che cosa s’intende per fattore di carico?,Un fattore numerico capace di indicare quante volte il peso del sistema ala-pilota varia per effetto dell'accelerazione centrifuga in virata o di altre accelerazioni positive o negative durante le manovre.,Un fattore numerico capace di indicare di quante volte aumenta la resistenza aerodinamica in virata per effetto della forza centrifuga.,Un fattore numerico caratteristico di un tipo di deltaplano o parapendio collegato alla robustezza delle sue strutture verificata in tutti i tipi di manovra in volo.,1
2099,"Durante una virata al sistema ala-pilota viene applicata, per effetto della forza centrifuga, un’accelerazione pari a due ""G"". Si può affermare che:",il fattore il carico rimane invariato.,"il fattore di carico è raddoppiato, ma è come se il peso del sistema fosse invariato.",il fattore di carico è raddoppiato ed è come se il peso del sistema fosse doppio.,3
2100,"Se durante il volo per qualche motivo il fattore di carico raddoppia, il carico alare",può anche rimanere invariato.,raddoppia.,viene dimezzato.,2
2101,Che cosa s’intende per centro di pressione o di spinta?,È il punto di applicazione della forza peso.,"È il punto in cui sempre s’incrociano i tre assi dell'ala, quello di beccheggio di rollio e d'imbardata.",È il punto di applicazione della risultante di tutte le forze aerodinamiche generate dall'ala in movimento nell'aria.,3
2102,In volo può variare la posizione del centro di pressione?,"No, perché non dipende da fattori che variano in volo.","Si, ma solo per certi tipi di profilo.","Si, al variare dell'angolo d'incidenza.",3
2103,Come varia mediamente la posizione del centro di pressione al variare dell'incidenza su profili autostabili?,Diminuendo l'incidenza il centro di pressione avanza ed aumentando l'incidenza il centro di pressione arretra.,Diminuendo l'incidenza il centro di pressione arretra ed aumentando l'incidenza il centro di pressione avanza.,Al variare dell'incidenza il centro di pressione non si sposta.,1
2104,Che cosa s’intende per baricentro di un apparecchio?,Il punto di applicazione della forza peso.,Il punto di applicazione della risultante aerodinamica.,Il punto di intersezione degli assi dell'apparecchio.,1
2105,Dove si trova normalmente il baricentro?,Coincide con il baricentro del solo pilota.,Si trova tra il baricentro del pilota e quello della struttura.,Si trova nel punto d’intersezione degli assi del sistema.,2
2106,La posizione del baricentro si sposta,solo a seguito di manovre attorno all'asse trasversale.,solo a seguito di manovre attorno all'asse longitudinale.,sia a seguito di manovre attorno all'asse trasversale che longitudinale.,3
2107,L'efficienza aerodinamica è:,il rapporto tra portanza e resistenza.,il rapporto tra carico alare e velocità.,il rapporto tra superficie alare e portanza.,1
2108,L'efficienza aerodinamica è:,il rapporto tra la sua superficie ed il peso trasportato.,il rapporto tra il peso trasportato e la sua velocità massima.,il rapporto tra Cp e Cr.,3
2109,L'efficienza di un'ala si può esprimere come:,il rapporto tra la velocità orizzontale e quella verticale.,il rapporto tra la velocità verticale e quella orizzontale.,il rapporto tra superficie e peso.,1
2110,"Il rapporto tra portanza e resistenza generate da un'ala a un certo regime di volo, ne rappresenta l'efficienza e varia:",al variare dell'angolo d'incidenza.,al variare della superficie alare.,al variare del carico alare.,1
2111,L'efficienza massima di un parapendio è uguale a 8. Che cosa significa?,In aria calma può essere percorso 1 km perdendo 800 m di quota.,Il rapporto tra apertura alare e corda alare è pari a 8.,In aria calma possono essere percorsi 8 km perdendo 1000 m di quota.,3
2112,Al variare dell’incidenza varia l’efficienza di un’ala perché:,varia solo il coefficiente di portanza Cp dell'ala.,varia solo il coefficiente di resistenza Cr dell'ala.,variano i coefficienti di portanza e resistenza Cp e Cr.,3
2113,L'efficienza massima varia al variare del peso del pilota?,"Si, anche se l'ala al variare del peso non si deforma.","No, purché al variare del peso l'ala non si deformi e l'aria sia calma.","No, anche se l'ala al variare del peso si deforma.",2
2114,"Volando in aria calma due piloti di peso diverso utilizzano lo stesso deltaplano o parapendio. Che risultati ottengono volando al medesimo regime di volo, se l'ala non si deforma al variare del carico?","Percorrono la stessa distanza, ma in tempi diversi.","Percorrono distanze diverse, ma impiegano uguali tempi.",Percorrono distanze diverse ed in tempi diversi anche se l'ala non si deforma in funzione del peso.,1
2115,"Volando in aria calma il peso del pilota, se l'ala non si deforma al variare del carico, influenzerà:",la sola efficienza aerodinamica.,"l'efficienza aerodinamica e la velocità all'aria, ma non il tasso di caduta.","la velocità all'aria ed il tasso di caduta, ma non l'efficienza aerodinamica.",3
2116,"Un’ala in volo, iniziando una virata:",aumenta il proprio tasso di caduta.,mantiene inalterato il tasso di caduta.,diminuisce il proprio tasso di caduta.,1
2117,"Aumentando il carico alare a condizione che l'ala non si deformi e volando con una certa incidenza, si realizzeranno:",velocità e tasso di caduta maggiori.,velocità e tasso di caduta minori.,velocità maggiore e tasso di caduta minore.,1
2118,E' possibile che un deltaplano o un parapendio volino stabilmente su una traiettoria orizzontale in condizioni di aria calma?,"Si, se il loro profilo è molto sofisticato.","No, perché ciò significherebbe in sostanza che è stato azzerato il valore della resistenza aerodinamica.","Si, avendo un basso carico alare.",2
2119,Traiettorie orizzontali stabili sono realizzabili con deltaplano e parapendio:,solo rispetto al terreno in condizioni di vento in coda sostenuto.,solo rispetto al terreno in condizioni di ascendenza.,anche rispetto all'aria in condizioni di ascendenza.,2
2120,La polare di un'ala è una rappresentazione grafica che:,indica i valori di velocità al suolo al variare dell'incidenza.,indica i valori dei coefficienti di portanza e resistenza al variare dell'angolo di assetto.,indica i valori dei coefficienti di portanza e resistenza al variare dell'angolo d’incidenza.,3
2121,Che cosa è la polare delle velocità o odografa di un'ala?,È un grafico sul quale sono riportati i valori delle velocità orizzontali e delle velocità verticali dell'ala al variare dell'angolo d'incidenza.,È un grafico sul quale sono riportati i valori della portanza e della resistenza al variare dell'angolo d'incidenza.,È un grafico sul quale sono riportati i valori della trazione e della resistenza al variare dell'angolo d'incidenza.,1
2122,"Se l'ala non si deforma, al variare del peso del pilota la polare delle velocità:",si modifica e non si sposta rispetto agli assi cartesiani.,non si modifica e non si sposta rispetto agli assi cartesiani.,si sposta rispetto agli assi cartesiani.,3
2123,Quali valori si possono ricavare dalla polare delle velocità di un'ala?,Quelli della portanza al variare dell'incidenza.,Quelli della resistenza al variare dell'incidenza.,Quelli delle velocità orizzontali e verticali ai vari angoli d'incidenza.,3
2124,Sulla polare delle velocità di un'ala normalmente il minimo tasso di caduta si realizza volando:,all'incidenza alla quale corrisponde il minimo valore della resistenza.,all'incidenza alla quale corrisponde la massima efficienza in aria calma.,ad un'incidenza maggiore di quella cui corrisponde la massima efficienza in aria calma.,3
2125,Sulla polare delle velocità di un'ala normalmente la massima velocità orizzontale si realizza volando:,al valore d'incidenza cui corrisponde una resistenza maggiore a quella che si ottiene alla massima efficienza aria.,al valore d'incidenza cui corrisponde il miglior rapporto superficie proiettata / allungamento.,al valore d'incidenza massimo.,1
2126,Sulla polare delle velocità di un'ala normalmente la massima efficienza in aria calma si realizza volando:,con l'angolo d'incidenza cui corrisponde il valore massimo del rapporto tra resistenza e portanza.,con l'angolo d'incidenza cui corrisponde il valore massimo del rapporto tra portanza e resistenza.,con l'angolo d'incidenza cui corrisponde il valore massimo del rapporto tra portanza e peso.,2
2127,In condizioni di ascendenza l'efficienza massima al suolo aumenta rispetto a quella che si otterrebbe in aria calma. Adeguando la polare delle velocità di un'ala a queste condizioni si vede che i migliori risultati si realizzano comunque volando:,a velocità all'aria maggiore di quelle utilizzate in condizioni di aria calma.,a velocità all'aria minore di quelle utilizzate in condizioni di aria calma.,alla medesima velocità all'aria che si utilizzerebbe in condizioni di aria calma.,2
2128,In condizioni di discendenza l'efficienza massima al suolo diminuisce rispetto a quella che si otterrebbe in aria calma. Adeguando la polare delle velocità di un'ala a queste condizioni si vede che i migliori risultati comunque si realizzano volando:,a velocità all'aria maggiori di quelle utilizzate in aria calma.,a velocità all'aria minori di quelle utilizzate in aria calma.,alla medesima velocità all'aria che si utilizzerebbe in condizioni di aria calma.,1
2129,Con vento a favore la massima efficienza al suolo è maggiore di quella ottenibile in aria calma. Sulla polare delle velocità si vede che i migliori risultati si realizzano comunque volando:,ad incidenza maggiore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria minore).,ad incidenza minore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria maggiore).,all'incidenza che si utilizzerebbe per ottenere la massima efficienza in aria calma.,1
2130,Con vento contrario la massima efficienza al suolo è minore di quella ottenibile in aria calma. Sulla polare delle velocità si vede che i migliori risultati si realizzano comunque volando:,all'incidenza che si utilizzerebbe per ottenere la massima efficienza in aria calma.,ad incidenza maggiore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria minore).,ad incidenza minore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria maggiore).,3
2131,"A parità di condizioni, di capacità e di ala a disposizione veleggia più a lungo il pilota:",più leggero.,più pesante.,che fa virate più strette.,1
2132,"In condizioni di vento contrario, usando la stessa ala, il pilota più pesante:",volerà con un'efficienza massima al suolo minore di quella realizzata dal pilota più leggero.,volerà con un’efficienza al suolo identica a quella realizzata dal pilota più leggero.,volerà con un'efficienza massima al suolo maggiore di quella realizzata dal pilota più leggero.,3
2133,"In condizioni di vento a favore, usando la stessa ala, il pilota più pesante:",volerà con un'efficienza massima al suolo minore di quella realizzata dal pilota più leggero.,volerà con un'efficienza massima al suolo maggiore di quella realizzata dal pilota più leggero.,volerà con un'efficienza massima al suolo identica a quella realizzata dal pilota più leggero.,1
2134,"In condizioni aerologiche sfavorevoli, quali vento contrario e discendenza, volando con la medesima ala è:",sfavorito il pilota più pesante.,sfavorito il pilota più leggero.,non ci sono differenze.,2
2135,Che cosa è lo stallo?,È una condizione di volo in cui si verifica il distacco dei filetti fluidi dall'ala a causa dell'eccessivo angolo d'incidenza.,È una condizione di volo in cui si verifica un calo netto della portanza a causa di una brusca diminuzione dell'angolo d'incidenza.,È una condizione di volo in cui si verifica un brusco aumento della resistenza dovuto all'eccessiva velocità.,1
2136,Lo stallo di un'ala si può verificare:,solo a bassa velocità indipendentemente dall'angolo d'incidenza.,solo a bassa velocità con incidenza oltre il valore critico.,a qualsiasi velocità con incidenza oltre il valore critico.,3
2137,In virata la velocità minima di volo e quella di stallo sono identiche a quelle del volo rettilineo?,"No, sono maggiori.",Si.,"No, sono minori.",1
2138,La velocità di stallo è influenzata dal carico alare?,No.,"Si, aumenta con l'aumentare del carico alare.","Si, diminuisce con l'aumentare del carico alare.",2
2139,E' possibile con il deltaplano e il parapendio andare in stallo ad alta velocità?,No.,Solo in virata.,"Si, se si raggiunge e si supera il valore critico dell'angolo di incidenza.",3
2140,Un'ala stalla normalmente a diversi angoli d’incidenza se varia la velocità?,"Si, infatti lo stallo dipende solo dalla velocità.","No, lo stallo non dipende dalla velocità ma solo dall'angolo d'incidenza.","No, lo stallo non dipende dalla velocità né dall'angolo d'incidenza.",2
2141,Che cosa s’intende per autostabilità di un profilo?,Una tendenza a cabrare o picchiare a seguito di un qualsiasi intervento del pilota sui comandi.,Una tendenza a picchiare comunque dopo il verificarsi di uno stallo accentuato.,"Una tendenza a tornare, autonomamente, alle condizioni di equilibrio dinamico anche senza l'intervento del pilota.",3
2142,Perché deltaplano e parapendio sono macchine considerate autostabili?,Perché reagiscono alle sollecitazioni aerodinamiche rispetto agli assi di rotazione tendendo a ritornare automaticamente in condizioni di equilibrio.,Solo perché a un movimento rispetto all'asse longitudinale reagiscono con una tendenza a ritornare automaticamente in condizioni di equilibrio.,Solo perché a un movimento rispetto all'asse verticale reagiscono con una tendenza a ritornare automaticamente in condizioni di equilibrio.,1
2143,Che cosa succede al sistema ala - pilota se il suo baricentro viene abbassato rispetto al centro di pressione?,Aumenta la sola stabilità laterale.,Aumenta la stabilità in beccheggio e rollio.,Varia semplicemente lo sforzo di azionamento dei comandi.,2
2144,La posizione bassa del baricentro del parapendio comporta entro certi limiti:,una maggiore stabilità in volo.,una minore stabilità in volo.,un minore sforzo di azionamento dei comandi nel parapendio.,1
2145,La posizione bassa del baricentro del parapendio comporta:,una minore stabilità.,un minore sforzo di azionamento dei comandi nel parapendio.,una possibilità di avere delle oscillazioni più ampie.,3
2146,"Lo svergolamento di un'ala, contribuisce alla stabilità in volo?",No.,Si.,"Si, se lo svergolamento è adeguatamente calcolato.",3
2147,Volando in prossimità del terreno il deltaplano acquista prestazioni. Ciò è dovuto:,al fatto che vicino a terra il pilota istintivamente aumenta l'incidenza.,"a un fenomeno detto ""effetto suolo"".",solo al fatto che molto vicino al terreno sovente vi sono piccole termiche.,2
2148,A che cosa è dovuto principalmente l'effetto suolo?,Solo ad una compressione dell’aria al suolo dovuta all’avvicinarsi dell’ala ad esso.,Ad una riduzione della resistenza indotta all’approssimarsi dell’ala al suolo.,"A nulla in generale, perché trattasi solo di una sensazione del pilota.",2
2149,"Che cosa s’intende per ""configurazione inusuale""?",Una situazione di volo in condizioni ambientali e meteorologiche estreme.,Una situazione di volo con un numero di passeggeri eccedente quello previsto dal manuale d'impiego.,"Una variazione di geometria e/o un comportamento anomalo del mezzo normalmente non indotti dal pilota direttamente, come tumbling, chiusure, autorotazioni positive e negative, stalli paracadutali ecc.",3
2150,"Quale parametro di volo può provocare una ""configurazione inusuale""?",L'angolo d'incidenza se eccede certi valori.,L'inclinazione in virata se eccede i 15 o 20 gradi.,La velocità al suolo se è eccessiva.,1
3001,Quale comportamento è auspicabile appena effettuato un soccorso d’emergenza?,Si trasporta il ferito all’ospedale con qualsiasi mezzo disponibile seguendolo da vicino.,Far trasportare all’ospedale con mezzo idoneo ed abilitato l’infortunato prendendosi cura dei suoi effetti personali ed avvisando al più presto i suoi parenti più prossimi.,Una volta chiamate si attende che giungano le autorità di polizia e si lascia a esse ogni incombenza.,2
3002,"Qual è, tra questi, il modo migliore per accompagnare un infortunato con una lesione leggera in grado di camminare?",Procurandogli un paio di stampelle.,Portandolo a spalle.,"Mettendosi al suo fianco, dal lato della lesione e cingendogli la vita con il braccio, se possibile.",3
3003,Come comportarsi alla presenza di un infortunato di cui si sospettano lesioni interne di entità sconosciuta?,"Ispezionarlo attentamente, interrogandolo sulle parti dolenti e facendolo muovere se può, indi chiamare i mezzi di soccorso.","Non muoverlo assolutamente e non consentire che egli stesso si muova, provvedere immediatamente a chiamare personale e mezzi di soccorso qualificati e attrezzati (eliambulanza, ambulanza, etc.).","Cercare di metterlo in piedi, se la cosa risulta impossibile e se l’infortunato si lamenta chiamare idonei mezzi di soccorso.",2
3004,"Se, essendo l’unico presente, vi capita di dover soccorrere un traumatizzato, come dovete comportarvi?",Cercate subito un medico nel paese più vicino.,"Intervenite soccorrendolo voi stessi secondo i traumi subiti, come meglio potete.","Non muoverlo assolutamente e non consentire che egli stesso si muova, provvedere immediatamente a chiamare personale e mezzi di soccorso qualificati e attrezzati (eliambulanza, ambulanza, etc.).",3
3005,Come intervenire su un infortunato che presenta una copiosa perdita di sangue da una ferita?,Lasciare uscire più sangue possibile onde lavare la ferita.,Interrompere il flusso sanguigno con laccio emostatico posto tra la lesione ed il cuore o con idoneo tampone posto sulla ferita.,Distendere l’infortunato con la ferita posta verso l’alto.,2
3006,Come si deve intervenire soccorrendo un infortunato che presenta solo una ferita?,Cercare di aiutarlo a mettersi in piedi.,"Lasciare la ferita scoperta dopo averla opportunamente tamponata, sino all’arrivo di idoneo soccorso.","Tamponare la ferita con ciò che è possibile, cercando di lasciare coperta la ferita sino all’arrivo d’idoneo soccorso.",3
3007,Come si deve intervenire in caso di forma lieve di fuoriuscita di sangue dal naso (epistassi)?,Far reclinar la testa in avanti favorendo il drenaggio di sangue e muco.,Far soffiare forte il naso.,Far tenere le narici serrate con le dita.,1
3008,Come si deve intervenire alla presenza di una persona colpita da soffocamento?,Lasciare che l’infortunato riprenda a respirare dopo averlo adagiato supino.,"Rimuovere le più evidenti cause di soffocamento, accertare che il soffocamento non sia dovuto all’ingestione di vomito e che la lingua non sia motivo d’impedimento alla ventilazione.","Tentare la respirazione artificiale prima di tutto, premendo sull’addome dell’infortunato in maniera decisa e ritmica.",2
3009,Come intervenire alla presenza di una persona in stato di shock?,Lasciarla tranquilla e alleggerirgli l’abbigliamento per evitare che sudi.,Somministrargli liquori o caffè per farla riprendere.,Coprirla in posizione supina muovendola meno possibile.,3
3010,"Se in un infortunato si sospetta una frattura, come dobbiamo comportarci?",Tentare comunque di ridurre subito la frattura stessa ponendo prima in trazione l’arto o la parte interessata in attesa di idonei mezzi di soccorso.,"Immobilizzare il traumatizzato e solo se trattasi di frattura a uno degli arti cercare di steccarlo con una “doccia” più idonea possibile, provvedendo comunque ad allertare al più presto idonei mezzi di soccorso.",Fasciare strettamente la parte del corpo in cui si trova la sospetta frattura in attesa di eventuali idonei mezzi di soccorso.,2
3011,"Come si deve intervenire in presenza di un infortunato che presenta sospetto trauma cranico con fuoriuscita di sangue dall’orecchio, in attesa di idonei mezzi di soccorso?",Tamponare la perdita di sangue.,Tenere il soggetto adagiato sul fianco dalla parte da cui perde sangue.,Porre il soggetto in posizione seduta.,2
3012,Come s’interviene nel caso che una persona presenti un trauma all’addome?,"Si provvede a chiamare idonei mezzi di soccorso, mettendola in piedi per alleviarle il dolore.","Si provvede a chiamare idonei mezzi di soccorso, evitando di muoverla e di comprimerle l’addome.","Si provvede a chiamare idonei mezzi di soccorso, nel frattempo le si praticano massaggi all’addome.",2
3013,"Nel caso una persona sia colpita da scarica elettrica e che rimanga a contatto con il cavo di alta tensione, il soccorritore dovrà:",avvicinarsi al più presto e prestarle soccorso.,rimanere a distanza di sicurezza dando immediatamente l’allarme.,"distaccarla immediatamente dalla sorgente elettrica servendosi ad esempio di un bastone di legno, che è uno strumento isolante.",2
3014,"Nel caso che una persona sia colpita da scarica elettrica e che rimanga a contatto con il cavo a bassa tensione, il soccorritore dovrà:",rimanere a distanza di sicurezza.,prenderla per un braccio e tentare di staccarla dalla sorgente elettrica.,staccarla dalla sorgente elettrica facendo uso di un attrezzo di materiale isolante come ad esempio il legno.,3
3015,Come intervenire in soccorso di un soggetto che presenti una distorsione al piede?,Farlo camminare subito per ripristinargli la circolazione.,Immobilizzare la parte lesa con ovatta ed eventuale fascia elastica.,Trazionare l’arto infortunato cercando di ricomporre la distorsione.,2
3016,Come si riconosce una spalla lussata?,Da un abbassamento dell’arto con infossamento all’altezza dell’articolazione.,Da un improvviso gonfiore in corrispondenza dell’articolazione.,Dal fatto che braccio e avambraccio risultano privi di articolazione.,1
3017,Come s’interviene provvisoriamente in caso di grave scottatura?,Si mantiene pulita e detersa la parte ustionata sino al momento in cui sono possibili interventi specialistici qualificati.,Non si tocca assolutamente la parte ustionata anche se è sporca trasportando l’infortunato dal medico più vicino.,Si pone sulla parte ustionata un qualsiasi unguento disponibile.,1
3018,Come s’interviene per soccorrere persone che abbiano perso conoscenza?,Si lasciano o si adagiano semplicemente in posizione prona.,Si dispongono su un fianco sollevando un braccio e una gamba per evitare che il vomito ostruisca le vie respiratorie.,Si bagna loro la fronte con acqua fredda.,2
3019,Come s’interviene su una persona svenuta a seguito di trauma?,Si prova a rianimarla energicamente scuotendola dopo aver chiamato idonei mezzi di soccorso.,"Si tiene sotto monitoraggio il battito cardiaco e la frequenza respiratoria, chiamando con urgenza idonei mezzi di soccorso.","Si adagia in posizione supina, le si pratica la respirazione, si chiamano se necessario idonei mezzi di soccorso.",2
3020,Qual è il rimedio migliore in caso di principio di assideramento di una parte del corpo?,Fare ingerire al paziente bevande alcoliche.,Fare muovere la parte colpita in modo da provocare circolazione sanguigna.,Tenere la parte colpita al caldo coprendola e facendo ingerire al paziente bevande calde.,3
4001,"Come varia la pressione parziale dell’ossigeno a livello polmonare, al variare dell’altitudine?",Diminuisce all’aumentare dell’altitudine.,"Diminuisce all’aumentare dell’altitudine, ma non scende mai sotto valori di guardia.",Aumenta all’aumentare dell’altitudine.,1
4002,"Ad elevate altitudini nell’organismo umano si instaura una situazione alterata, prodotta dalla ridotta pressione di ossigeno. Essa prende il nome di:",ipotermia.,ipossia.,ipotensione.,2
4003,Che cosa è l’ipossia?,È lo stato in cui l’organismo viene a trovarsi a causa dell’insufficiente pressione sanguigna dovuta alla quota.,È lo stato in cui l’organismo viene a trovarsi a causa dell’insufficiente temperatura corporea dovuta alla quota.,È lo stato in cui l’organismo viene a trovarsi a causa dell’insufficiente pressione dell’ossigeno a livello degli alveoli polmonari dovuta alla quota.,3
4004,Quali sono gli effetti dell’ipossia?,"Diminuzione dell’efficienza mentale, nausea, euforia, aumento del ritmo di ventilazione polmonare.","Vasodilatazione periferica, secchezza delle fauci, rigidità muscolare, diminuzione del ritmo di ventilazione polmonare.","Diminuzione della pressione arteriosa, ischemia periferica, paralisi dei centri respiratori.",1
4005,"La decompressione da alta quota può dar luogo a liberazione di bolle gassose nel sangue, detti emboli. Qual è la condizione in cui questo pericoloso fenomeno può verificarsi con maggiore facilità?",Lenta ascensione oltre i 7000 metri.,Rapida ascensione a 7000 metri ed oltre.,Permanenza ad alta quota dopo lungo periodo di ambientamento.,2
4006,Durante il volo il corpo umano è sottoposto a vari tipi di accelerazione. Quali sono meglio sopportate tra quelle positive (testa-piedi) e quelle negative (piedi-testa)?,Entrambe in uguale misura.,Quelle negative.,Quelle positive.,3
4007,Le accelerazioni positive (testa-piedi) corrispondono a un aumento dei “G” o meglio a un aumento fittizio dell’accelerazione di gravità. Quando si possono manifestare in volo?,Durante virate corrette.,Durante il volo su traiettoria rettilinea con forte pendenza.,Durante brusche manovre di picchiata.,1
4008,Le accelerazioni negative (piedi-testa) corrispondono a una diminuzione dei “G” o meglio a una diminuzione fittizia della accelerazione di gravità. Quando si possono manifestare in volo?,Durante una brusca richiamata.,Durante brusche manovre di picchiata.,Durante il volo su traiettoria rettilinea con forte pendenza.,2
4009,Quando sussiste in volo il rischio che il pilota soffra di un oscuramento della vista a seguito di manovre che inducono forti accelerazioni?,Quando le accelerazioni indotte sono del tipo positivo (testa-piedi) e superano i 4 “G” per un tempo superiore a 4 secondi.,Quando comunque sono del tipo negativo (piedi-testa).,Quando si passa da accelerazioni positive ad accelerazioni negative senza soluzione di continuità in meno di 4 secondi.,1
4010,"Considerate le caratteristiche fisiologiche dell’uomo, è possibile eseguire correttamente un volo in nube, facendo affidamento sul solo senso dell’equilibrio?",No.,Si.,"Si, se l’equilibrio è affinato da adeguato addestramento.",1
5001,Che cosa è l’atmosfera?,È la massa gassosa che sovrasta la superficie terrestre e la cui altezza è praticamente illimitata.,È la massa gassosa che sovrasta la superficie terrestre e la cui altezza è 12 km.,È la massa gassosa di altezza ben definita che sovrasta la superficie terrestre la cui parte inferiore si definisce troposfera.,3
5002,Come può essere definita la troposfera?,È la porzione inferiore dell’atmosfera compresa tra la superficie terrestre e la quota alla quale la pressione atmosferica è praticamente nulla.,È la porzione inferiore dell’atmosfera compresa tra la superficie terrestre e la quota alla quale l’umidità dell’aria è uguale a zero.,"È la porzione inferiore dell’atmosfera compresa tra la superficie terrestre e lo strato, detto tropopausa, all’interno del quale il gradiente termico verticale dell’aria è praticamente nullo.",3
5003,I fenomeni meteorologici (meteore) si verificano normalmente:,all’interno della porzione di atmosfera terrestre detta troposfera.,all’interno dell’intera atmosfera e sino al suo limite superiore.,solo negli strati bassi della troposfera.,1
5004,"La quota della tropopausa, intesa come limite superiore della troposfera:","è ben determinata, non è variabile e il suo valore è di 12 km.","è variabile in funzione delle stagioni e della latitudine, il suo valore oscilla mediamente tra 8 km in corrispondenza dei poli e 16 km in corrispondenza dell’equatore.","è variabile solo in funzione della latitudine, il suo valore è 8 km ai poli e 16 km all’equatore.",2
5005,L’aria è una miscela di gas formata prevalentemente da:,ossigeno e gas rari.,"azoto, ossigeno, vapore acqueo e gas rari.","azoto, ossigeno e vapore acqueo condensato.",2
5006,Quali sono le caratteristiche fisiche dell’aria la cui combinazione o variazione dà luogo normalmente ai fenomeni meteorologici?,"Pressione, temperatura e densità.","Pressione, velocità del vento e densità.","Pressione, temperatura e umidità.",3
5007,Il vapore acqueo è un gas invisibile contenuto nell’aria in percentuali variabili?,Si.,"No, è un gas visibile.","No, non è un gas ma acqua liquida in minuscole gocce quindi pur sempre visibile.",1
5008,"In natura esiste normalmente aria totalmente priva di vapore acqueo, cioè assolutamente secca?",No.,Si.,"Si, in corrispondenza di regioni desertiche.",1
5009,Per umidità assoluta s’intende:,la quantità in grammi di vapore acqueo contenuta in un metro cubo d’aria.,la quantità in volume di vapore acqueo contenuta in un metro cubo d’aria.,la quantità in grammi di vapore acqueo necessaria a saturare un metro cubo d’aria.,1
5010,Per umidità specifica s’intende:,la quantità in grammi di vapore acqueo contenuta in un metro cubo d’aria.,la quantità in volume di vapore acqueo contenuta in un metro cubo d’aria.,la quantità in grammi di vapore acqueo contenuta in un chilogrammo d’aria.,3
5011,"Per umidità relativa, che è sempre espressa in percentuale, s’intende:",la quantità in volume di vapore acqueo contenuta in un metro cubo d’aria.,la quantità in volume di vapore acqueo contenuta in un chilogrammo d’aria.,il rapporto esistente tra il contenuto attuale di vapore acqueo dell’aria ed il contenuto di vapore acqueo necessario alla saturazione (massimo contenuto di vapore acqueo possibile ai valori attuali di pressione e temperatura dell’aria).,3
5012,Come varia l’umidità relativa dell’aria abbassandone la sola temperatura?,L’umidità relativa aumenta sino a raggiungere anche il valore del 100%.,L’umidità relativa diminuisce.,L’umidità relativa non varia al variare della temperatura se la pressione rimane costante.,1
5013,Come varia l’umidità relativa dell’aria all’aumentare della sola pressione atmosferica?,L’umidità relativa diminuisce.,L’umidità relativa aumenta anche sino a raggiungere il valore del 100%.,L’umidità relativa non varia al variare della pressione se la temperatura rimane costante.,2
5014,Che cosa è la temperatura di rugiada?,La temperatura alla quale l’aria diverrebbe satura se raffreddata senza subire variazioni di pressione.,La temperatura alla quale l’aria diverrebbe satura se riscaldata senza subire variazioni di pressione.,La temperatura alla quale si otterrebbe la saturazione aumentando la pressione di un millibar o hectopascal.,1
5015,Che cosa avviene quando per qualche motivo l’umidità relativa dell’aria raggiunge il valore del 100%?,L’aria in questione diviene satura e in essa può aver luogo il processo di condensazione del vapore acqueo.,L’aria in questione diviene satura e non può quindi aver luogo il processo di condensazione del vapore acqueo.,L’aria in questione diviene satura e in essa può aver luogo il processo di condensazione del vapore acqueo solo qualora aumenti contemporaneamente la temperatura.,1
